Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
170.0;2020-07-17 13:08:20;45.49743167;-73.61733333;4;103.0;251.19444444444443;8.779611650485437;30.4;14.585483870967742;0.5072815533980581;0.5072815533980581;0.5193315729816573;9.988703023065616;2.196153846153846;-1.955555555555556;3.060485436893205;0.39805825242718446;0.5145631067961165;0.038834951456310676;0.44660194174757284;0.0
171.0;2020-07-17 13:10:03;45.49433167;-73.61973;4;26.0;244.41666666666677;33.8423076923077;36.7;33.8423076923077;0.8448076923076925;0.8448076923076925;0.4652708475054735;2.5518891946043536;1.2;-0.8142857142857142;0.8619230769230769;0.0;0.6538461538461539;0.34615384615384615;0.0;0.0
172.0;2020-07-17 13:10:29;45.49135333;-73.62241333;4;70.0;256.83333333333337;13.208571428571426;38.5;28.018181818181812;0.38521428571428595;0.38521428571428595;0.4926785968488591;16.535536986649483;2.4461538461538463;-2.725;4.782857142857143;0.5285714285714286;0.4142857142857143;0.05714285714285714;0.5285714285714286;0.0
173.0;2020-07-17 13:11:39;45.48841333;-73.62503167;4;32.0;251.8611111111111;28.334375000000012;31.7;28.334375000000012;0.37421875000000004;0.37421875000000004;0.35468093197698763;1.5693864375362039;1.2333333333333334;-0.6214285714285712;0.7706249999999997;0.0;0.71875;0.28125;0.0;0.0
174.0;2020-07-17 13:12:11;45.48530167;-73.627815;4;156.0;245.6388888888889;5.649032258064514;26.7;8.419230769230767;0.27258064516129027;0.27258064516129027;0.13964978789572619;6.206012666216397;1.274358974358975;-1.5071428571428573;1.295354838709679;0.3269230769230769;0.5256410256410257;0.01282051282051282;0.46153846153846156;0.0
175.0;2020-07-17 13:14:47;45.484784999999995;-73.63125500000001;4;94.0;253.8055555555555;9.720212765957445;28.0;16.029824561403505;0.451808510638298;0.451808510638298;0.41175264723792043;9.11617468099745;2.3833333333333333;-1.8652173913043477;2.9035106382978735;0.39361702127659576;0.5;0.031914893617021274;0.46808510638297873;0.0
176.0;2020-07-17 13:16:21;45.48677167;-73.63566667;4;25.0;244.19444444444443;35.163999999999994;41.0;35.163999999999994;1.2054;1.2054;1.037832195813305;2.976138437640292;1.5692307692307692;-1.2333333333333332;2.0096;0.0;0.76;0.24;0.0;0.0
177.0;2020-07-17 13:16:46;45.48858167;-73.64005667;4;17.0;244.44444444444443;51.76470588235294;57.2;51.76470588235294;1.8461764705882349;1.8461764705882349;1.6631103479359883;3.955208777117617;2.025;-1.175;2.8647058823529403;0.0;0.9411764705882353;0.058823529411764705;0.0;0.0
178.0;2020-07-17 13:17:03;45.4905;-73.64423833;4;19.0;251.58333333333334;47.66842105263157;50.3;47.66842105263157;1.138421052631579;1.138421052631579;0.627979680827464;1.165262312661804;1.3599999999999999;-0.7857142857142856;0.841578947368421;0.0;0.631578947368421;0.3684210526315789;0.0;0.0
179.0;2020-07-17 13:17:22;45.49240167;-73.64856999999999;4;35.0;259.33333333333337;26.674285714285716;47.8;26.674285714285716;0.46100000000000013;0.46100000000000013;0.38878733034307345;17.122265223578182;1.1199999999999999;-2.0708333333333337;4.034571428571429;0.0;0.8285714285714286;0.11428571428571428;0.05714285714285714;0.0
180.0;2020-07-17 13:17:57;45.49449333;-73.65241833;4;42.0;247.05555555555551;21.176190476190477;31.1;21.176190476190477;0.7791666666666669;0.7791666666666669;0.5498424571113769;10.066045546213452;2.0550000000000006;-1.3923076923076922;3.6457142857142877;0.0;0.7857142857142857;0.19047619047619047;0.023809523809523808;0.0
181.0;2020-07-17 13:18:39;45.49721667;-73.64962333;4;67.0;245.77777777777786;13.205970149253732;29.8;22.12;0.5100000000000001;0.5100000000000001;0.5225512878989472;13.056820818173287;2.4285714285714293;-1.8222222222222224;3.245671641791046;0.40298507462686567;0.47761194029850745;0.11940298507462686;0.40298507462686567;0.0
